image_id	image_path	class_label
917793137925459968_0	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\10_10_2017\917793137925459968_0.jpg	infrastructure_and_utility_damage
917793137925459968_1	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\10_10_2017\917793137925459968_1.jpg	infrastructure_and_utility_damage
917793137925459968_2	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\10_10_2017\917793137925459968_2.jpg	infrastructure_and_utility_damage
917815040962695168_2	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\10_10_2017\917815040962695168_2.jpg	infrastructure_and_utility_damage
917828283047260161_0	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\10_10_2017\917828283047260161_0.jpg	other_relevant_information
917828283047260161_1	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\10_10_2017\917828283047260161_1.jpg	other_relevant_information
917828283047260161_2	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\10_10_2017\917828283047260161_2.jpg	other_relevant_information
917830092620836864_0	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\10_10_2017\917830092620836864_0.jpg	not_humanitarian
917830092620836864_2	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\10_10_2017\917830092620836864_2.jpg	not_humanitarian
917830092620836864_1	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\10_10_2017\917830092620836864_1.jpg	not_humanitarian
917830092620836864_3	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\10_10_2017\917830092620836864_3.jpg	not_humanitarian
917832022017445888_2	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\10_10_2017\917832022017445888_2.jpg	not_humanitarian
917832022017445888_1	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\10_10_2017\917832022017445888_1.jpg	not_humanitarian
917954508231184385_0	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\11_10_2017\917954508231184385_0.jpg	other_relevant_information
917954508231184385_1	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\11_10_2017\917954508231184385_1.jpg	other_relevant_information
917991257594572800_0	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\11_10_2017\917991257594572800_0.jpg	rescue_volunteering_or_donation_effort
917991257594572800_1	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\11_10_2017\917991257594572800_1.jpg	rescue_volunteering_or_donation_effort
917991257594572800_2	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\11_10_2017\917991257594572800_2.jpg	rescue_volunteering_or_donation_effort
917991257594572800_3	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\11_10_2017\917991257594572800_3.jpg	rescue_volunteering_or_donation_effort
918046279120408576_0	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\11_10_2017\918046279120408576_0.jpg	other_relevant_information
918046279120408576_1	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\11_10_2017\918046279120408576_1.jpg	other_relevant_information
918312987299012608_0	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\12_10_2017\918312987299012608_0.jpg	not_humanitarian
918312987299012608_1	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\12_10_2017\918312987299012608_1.jpg	not_humanitarian
918354135350616064_3	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\12_10_2017\918354135350616064_3.jpg	other_relevant_information
919578094398144513_0	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\15_10_2017\919578094398144513_0.jpg	not_humanitarian
919578094398144513_1	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\15_10_2017\919578094398144513_1.jpg	not_humanitarian
