image_id	image_path	class_label
917791291823591425_0	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\10_10_2017\917791291823591425_0.jpg	informative
917793137925459968_0	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\10_10_2017\917793137925459968_0.jpg	informative
917793137925459968_1	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\10_10_2017\917793137925459968_1.jpg	informative
917793137925459968_2	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\10_10_2017\917793137925459968_2.jpg	informative
917815040962695168_0	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\10_10_2017\917815040962695168_0.jpg	informative
917815040962695168_1	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\10_10_2017\917815040962695168_1.jpg	informative
917815040962695168_2	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\10_10_2017\917815040962695168_2.jpg	informative
917828283047260161_0	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\10_10_2017\917828283047260161_0.jpg	informative
917828283047260161_1	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\10_10_2017\917828283047260161_1.jpg	informative
917828283047260161_2	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\10_10_2017\917828283047260161_2.jpg	informative
917830092620836864_0	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\10_10_2017\917830092620836864_0.jpg	not_informative
917830092620836864_1	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\10_10_2017\917830092620836864_1.jpg	not_informative
917830092620836864_2	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\10_10_2017\917830092620836864_2.jpg	not_informative
917830092620836864_3	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\10_10_2017\917830092620836864_3.jpg	not_informative
917832022017445888_1	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\10_10_2017\917832022017445888_1.jpg	not_informative
917832022017445888_2	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\10_10_2017\917832022017445888_2.jpg	not_informative
917834588814155776_0	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\10_10_2017\917834588814155776_0.jpg	informative
917834588814155776_1	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\10_10_2017\917834588814155776_1.jpg	informative
917839142880468994_0	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\10_10_2017\917839142880468994_0.jpg	informative
917839142880468994_1	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\10_10_2017\917839142880468994_1.jpg	informative
917839142880468994_2	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\10_10_2017\917839142880468994_2.jpg	informative
917839142880468994_3	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\10_10_2017\917839142880468994_3.jpg	informative
917949723167875077_1	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\11_10_2017\917949723167875077_1.jpg	informative
917954508231184385_0	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\11_10_2017\917954508231184385_0.jpg	informative
917954508231184385_1	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\11_10_2017\917954508231184385_1.jpg	informative
917991257594572800_0	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\11_10_2017\917991257594572800_0.jpg	informative
917991257594572800_1	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\11_10_2017\917991257594572800_1.jpg	informative
917991257594572800_2	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\11_10_2017\917991257594572800_2.jpg	informative
917991257594572800_3	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\11_10_2017\917991257594572800_3.jpg	informative
918010136072945664_0	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\11_10_2017\918010136072945664_0.jpg	informative
918010136072945664_1	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\11_10_2017\918010136072945664_1.jpg	informative
918046279120408576_0	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\11_10_2017\918046279120408576_0.jpg	informative
918046279120408576_1	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\11_10_2017\918046279120408576_1.jpg	informative
918060571517480960_0	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\11_10_2017\918060571517480960_0.jpg	informative
918060571517480960_1	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\11_10_2017\918060571517480960_1.jpg	informative
918060571517480960_2	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\11_10_2017\918060571517480960_2.jpg	informative
918312987299012608_0	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\12_10_2017\918312987299012608_0.jpg	not_informative
918312987299012608_1	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\12_10_2017\918312987299012608_1.jpg	not_informative
918315972976631808_0	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\12_10_2017\918315972976631808_0.jpg	informative
918315972976631808_1	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\12_10_2017\918315972976631808_1.jpg	informative
918315972976631808_2	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\12_10_2017\918315972976631808_2.jpg	informative
918315972976631808_3	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\12_10_2017\918315972976631808_3.jpg	informative
918354135350616064_3	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\12_10_2017\918354135350616064_3.jpg	informative
919562679404003328_0	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\15_10_2017\919562679404003328_0.jpg	informative
919562679404003328_1	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\15_10_2017\919562679404003328_1.jpg	informative
919562679404003328_2	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\15_10_2017\919562679404003328_2.jpg	informative
919562679404003328_3	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\15_10_2017\919562679404003328_3.jpg	informative
919566012604874754_1	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\15_10_2017\919566012604874754_1.jpg	informative
919578094398144513_0	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD\data_image\california_wildfires\15_10_2017\919578094398144513_0.jpg	not_informative
