image_id	image_path	class_label
917791291823591425_1	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD_v2.0\data_image\california_wildfires\10_10_2017\917791291823591425_1.jpg	not_humanitarian
917791291823591425_0	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD_v2.0\data_image\california_wildfires\10_10_2017\917791291823591425_0.jpg	infrastructure_and_utility_damage
917793137925459968_0	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD_v2.0\data_image\california_wildfires\10_10_2017\917793137925459968_0.jpg	infrastructure_and_utility_damage
917793137925459968_1	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD_v2.0\data_image\california_wildfires\10_10_2017\917793137925459968_1.jpg	infrastructure_and_utility_damage
917793137925459968_2	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD_v2.0\data_image\california_wildfires\10_10_2017\917793137925459968_2.jpg	infrastructure_and_utility_damage
917815040962695168_1	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD_v2.0\data_image\california_wildfires\10_10_2017\917815040962695168_1.jpg	vehicle_damage
917815040962695168_0	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD_v2.0\data_image\california_wildfires\10_10_2017\917815040962695168_0.jpg	rescue_volunteering_or_donation_effort
917815040962695168_2	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD_v2.0\data_image\california_wildfires\10_10_2017\917815040962695168_2.jpg	infrastructure_and_utility_damage
917828283047260161_0	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD_v2.0\data_image\california_wildfires\10_10_2017\917828283047260161_0.jpg	other_relevant_information
917828283047260161_1	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD_v2.0\data_image\california_wildfires\10_10_2017\917828283047260161_1.jpg	other_relevant_information
917828283047260161_2	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD_v2.0\data_image\california_wildfires\10_10_2017\917828283047260161_2.jpg	other_relevant_information
917830092620836864_0	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD_v2.0\data_image\california_wildfires\10_10_2017\917830092620836864_0.jpg	not_humanitarian
917830092620836864_2	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD_v2.0\data_image\california_wildfires\10_10_2017\917830092620836864_2.jpg	not_humanitarian
917830092620836864_1	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD_v2.0\data_image\california_wildfires\10_10_2017\917830092620836864_1.jpg	not_humanitarian
917830092620836864_3	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD_v2.0\data_image\california_wildfires\10_10_2017\917830092620836864_3.jpg	not_humanitarian
917832022017445888_0	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD_v2.0\data_image\california_wildfires\10_10_2017\917832022017445888_0.jpg	infrastructure_and_utility_damage
917832022017445888_2	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD_v2.0\data_image\california_wildfires\10_10_2017\917832022017445888_2.jpg	not_humanitarian
917832022017445888_1	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD_v2.0\data_image\california_wildfires\10_10_2017\917832022017445888_1.jpg	not_humanitarian
917832022017445888_3	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD_v2.0\data_image\california_wildfires\10_10_2017\917832022017445888_3.jpg	other_relevant_information
917834588814155776_0	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD_v2.0\data_image\california_wildfires\10_10_2017\917834588814155776_0.jpg	vehicle_damage
917834588814155776_1	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD_v2.0\data_image\california_wildfires\10_10_2017\917834588814155776_1.jpg	vehicle_damage
917839142880468994_0	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD_v2.0\data_image\california_wildfires\10_10_2017\917839142880468994_0.jpg	infrastructure_and_utility_damage
917839142880468994_1	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD_v2.0\data_image\california_wildfires\10_10_2017\917839142880468994_1.jpg	infrastructure_and_utility_damage
917839142880468994_3	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD_v2.0\data_image\california_wildfires\10_10_2017\917839142880468994_3.jpg	infrastructure_and_utility_damage
917839142880468994_2	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD_v2.0\data_image\california_wildfires\10_10_2017\917839142880468994_2.jpg	infrastructure_and_utility_damage
917949723167875077_0	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD_v2.0\data_image\california_wildfires\11_10_2017\917949723167875077_0.jpg	not_humanitarian
917949723167875077_1	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD_v2.0\data_image\california_wildfires\11_10_2017\917949723167875077_1.jpg	affected_individuals
917954508231184385_0	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD_v2.0\data_image\california_wildfires\11_10_2017\917954508231184385_0.jpg	other_relevant_information
917954508231184385_1	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD_v2.0\data_image\california_wildfires\11_10_2017\917954508231184385_1.jpg	other_relevant_information
